race_id,rank,frame_number,horse_number,horse_id,age,burden_weight,rider_id,popular,tamer_id,owner_id,is_senba,is_mesu,is_osu,race_round,weather,ground_status,where_racecourse,total_horse_number,is_left_right_straight
201805010106,10,5,9,2014105832,4,56.0,1085,8.0,1008,208008,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,11,2,3,2012106252,6,57.0,689,11.0,349,934006,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,12,2,4,2013100435,5,57.0,1049,16.0,370,514009,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,13,6,11,2013102729,5,54.0,1158,10.0,1109,593006,1,0,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,14,1,2,2013100942,5,57.0,1061,15.0,437,141030,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,15,1,1,2012101289,6,57.0,1097,9.0,1013,580007,1,0,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,16,4,8,2014106307,4,56.0,5243,3.0,1080,677009,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010107,1,7,12,2015100894,3,56.0,660,3.0,1044,32800,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,2,5,8,2015110082,3,56.0,5339,2.0,1126,859007,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,3,2,3,2015104006,3,51.0,1158,4.0,386,845008,0,1,0,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,4,8,15,2015100348,3,56.0,1092,1.0,1026,677009,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,5,7,13,2015106260,3,56.0,629,12.0,1106,639009,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,6,4,7,2015101257,3,56.0,1075,10.0,1124,28803,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,7,3,5,2015101512,3,56.0,5243,13.0,1005,331006,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,8,5,9,2015110008,3,56.0,422,8.0,1137,91803,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,9,4,6,2015104440,3,54.0,684,14.0,1116,758005,0,1,0,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,10,6,10,2015102146,3,56.0,1095,7.0,1141,371009,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,11,1,1,2015105332,3,53.0,1169,6.0,1048,159800,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,12,2,2,2015103686,3,56.0,1085,9.0,1145,51803,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,13,6,11,2015100531,3,54.0,1025,15.0,1123,929002,0,1,0,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,14,8,14,2015104333,3,54.0,1115,5.0,1058,415800,0,1,0,7,天候 : 晴,ダート : 不良,東京,15,左
201805010107,15,3,4,2015104435,3,56.0,1096,11.0,1118,165033,0,0,1,7,天候 : 晴,ダート : 不良,東京,15,左
201805010108,1,6,12,2013104852,5,57.0,5339,1.0,1054,831800,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,2,8,15,2013101292,5,57.0,1122,5.0,1027,13803,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,3,4,7,2014105506,4,56.0,1075,2.0,1067,415800,1,0,0,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,4,4,8,2011104070,7,57.0,1043,11.0,1008,506800,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,5,2,4,2013105857,5,57.0,422,4.0,1038,486800,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,6,7,14,2014102170,4,51.0,1169,3.0,1121,3060,0,1,0,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,7,5,9,2011104419,7,57.0,5386,10.0,1124,63803,1,0,0,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,8,3,6,2014100933,4,56.0,5243,12.0,349,895800,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,9,2,3,2014105430,4,56.0,660,7.0,1132,566006,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,10,8,16,2013105835,5,52.0,1158,16.0,1074,506800,0,1,0,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,11,1,2,2011102894,7,57.0,1096,13.0,1110,524030,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,12,3,5,2013105481,5,57.0,1014,9.0,1053,208008,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,13,1,1,2013104884,5,57.0,1009,8.0,1048,546800,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,14,6,11,2013100655,5,57.0,1092,14.0,1020,284008,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,15,5,10,2014105460,4,56.0,1077,6.0,1070,8803,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010108,16,7,13,2014102848,4,56.0,1025,15.0,1079,481002,0,0,1,8,天候 : 晴,ダート : 不良,東京,16,左
201805010109,1,6,12,2014103547,4,56.0,660,2.0,1140,7803,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,2,5,10,2013105373,5,57.0,422,7.0,1076,415800,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
