date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,race_course,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner_up_horse_id,prize,horse_id,target_race_id
2006/12/23,3阪神7,晴,11,ラジオNIKKEI杯(G3),200609030711,11,3,3,1.8,1,1,00945,55,芝2000,良,2:02.1,0.0,5-5-6-6,36.6-35.2,34.3,506(-2),2004102884,"3,244.1",2004102834,200706030811
2006/11/18,5東京5,曇,11,東京スポーツ杯2歳S(G3),200605050511,12,4,4,2.1,1,1,00945,55,芝1800,良,1:48.7,-0.1,3-2-2,36.6-34.3,34.0,508(0),2004110153,"3,246.2",2004102834,200706030811
2006/10/08,4東京2,晴,6,2歳新馬,200605040206,14,6,9,2.3,1,1,00945,55,芝1800,良,1:50.1,-0.6,4-5-4,35.8-35.9,35.6,508(0),2004105616,700.0,2004102834,200706030811
2011/04/30,3京都3,曇,11,桃山S(1600万下),201108030311,16,1,2,38.0,8,14,00894,57,ダ1900,稍,1:59.4,2.1,13-13-15-16,29.7-36.1,36.9,460(-6),2006110050, ,2004102850,200706030811
2011/02/26,1阪神1,晴,10,御堂筋S(1600万下),201109010110,15,7,12,36.2,10,8,00666,57,芝2400,良,2:26.5,1.1,15-15-15-14,36.2-36.7,36.8,466(-4),2005100139, ,2004102850,200706030811
2011/02/13,2京都6,晴,10,飛鳥S(1600万下),201108020610,16,4,8,66.7,13,15,01093,57,芝1800,良,1:48.8,1.4,16-16,35.0-36.1,35.8,470(0),2005101710, ,2004102850,200706030811
2011/01/23,1小倉2,曇,11,関門橋S(1600万下),201110010211,11,6,7,55.9,9,5,01102,57,芝2000,良,2:00.4,0.5,11-11-9-9,35.2-35.9,35.1,470(+6),2007103007,167.0,2004102850,200706030811
2010/12/25,5中山7,晴,12,グレイトフルS(1600万下),201006050712,14,5,7,109.2,11,8,01085,57,芝2200,良,2:14.2,1.2,11-11-10-10,35.4-36.6,35.5,464(0),2007102976, ,2004102850,200706030811
2010/12/12,5阪神4,晴,10,オリオンS(1600万下),201009050410,17,3,5,60.1,11,13,01093,53,芝2400,良,2:28.6,1.6,13-13-14-13,36.5-36.0,35.7,464(+8),2007104746, ,2004102850,200706030811
2010/10/09,4東京1,雨,10,オクトーバーS(1600万下),201005040110,11,2,2,43.0,9,7,00733,53,芝2400,良,2:30.2,0.6,8-7-8-8,38.7-34.3,34.4,456(+2),2005104290, ,2004102850,200706030811
2010/09/26,4阪神6,晴,9,ムーンライトH(1600万下),201009040609,11,2,2,27.0,9,10,01088,54,芝2000,良,2:00.8,0.6,10-10-11-9,36.4-34.8,34.2,454(-2),2006103026, ,2004102850,200706030811
2010/07/25,2新潟4,曇,11,日本海S(1600万下),201004020411,12,7,9,22.4,9,6,00733,54,芝2200,良,2:14.9,0.6,7-7-7-7,35.9-34.3,34.2,456(-6),2005106372, ,2004102850,200706030811
2010/07/18,1小倉2,晴,10,釜山S(1600万下),201010010210,10,8,9,31.9,9,5,01116,54,芝1800,良,1:46.1,0.2,7-7-8-9,34.8-36.9,35.8,462(+4),2006102847,178.0,2004102850,200706030811
2010/05/16,3京都8,晴,9,烏丸S(1600万下),201008030809,13,5,7,47.8,12,12,01034,54,芝2400,良,2:25.6,0.8,9-7-6-7,35.9-34.0,34.3,458(0),2005106934, ,2004102850,200706030811
2010/04/24,2東京1,晴,11,メトロポリタンS(OP),201005020111,14,3,3,31.3,8,12,01119,51,芝2400,良,2:28.0,1.9,14-14-14-14,36.1-34.5,35.2,458(0),2006102424, ,2004102850,200706030811
2010/03/13,2中山5,晴,10,サンシャインS(1600万下),201006020510,12,1,1,43.2,11,4,00629,54,芝2500,良,2:34.6,0.6,9-9-9-9,29.2-35.8,35.5,458(-8),2005102326,270.0,2004102850,200706030811
2010/02/27,1阪神1,晴,10,御堂筋S(1600万下),201009010110,12,2,2,38.2,9,9,00700,57,芝2400,良,2:28.5,1.0,11-11-11-11,37.0-35.9,35.7,466(+6),2004100671, ,2004102850,200706030811
2009/12/13,5阪神4,曇,10,オリオンS(1600万下),200909050410,17,7,15,44.3,12,10,00732,55,芝2400,良,2:28.8,0.9,17-17-16-16,37.0-35.0,35.0,460(0),2006101905, ,2004102850,200706030811
2009/11/22,5京都6,小雨,10,修学院S(1600万下),200908050610,15,4,6,29.2,9,12,05302,55,芝2000,良,2:01.1,0.7,13-11-10-9,35.9-34.8,34.6,460(-2),2006102738, ,2004102850,200706030811
2009/11/14,5京都3,晴,10,比叡S(1600万下),200908050310,12,6,7,14.0,8,4,05271,57,芝2400,重,2:27.9,0.3,12-12-10-8,35.8-35.5,35.2,462(+4),2006102061,270.0,2004102850,200706030811
2009/10/24,4京都5,曇,10,古都S(1600万下),200908040510,13,6,8,37.3,9,8,00732,55,芝2200,良,2:12.9,0.6,12-12-11-9,35.8-35.5,34.6,458(0),2005106472, ,2004102850,200706030811
2009/07/26,2新潟4,曇,11,日本海S(1600万下),200904020411,14,7,12,22.3,9,12,00652,56,芝2200,良,2:13.4,1.0,9-10-11-12,35.6-35.8,34.9,458(+4),2004105610, ,2004102850,200706030811
2009/06/28,3阪神4,晴,9,垂水S(1600万下),200909030409,16,8,16,28.9,8,7,01116,57,芝2000,良,2:01.0,0.7,9-10-13-14,35.6-36.4,36.0,454(-2),2004101228, ,2004102850,200706030811
2009/06/07,3中京6,晴,10,関ケ原S(1600万下),200907030610,16,7,13,16.5,8,4,01116,56,芝2000,良,1:59.0,0.5,12-14-14-13,33.8-35.9,35.0,456(-2),2004104094,270.0,2004102850,200706030811
2009/05/17,3京都8,雨,8,烏丸S(1600万下),200908030808,18,8,17,37.3,14,9,00629,56,芝2400,稍,2:27.8,1.4,6-6-5-4,35.0-36.6,37.4,458(-8),2005104706, ,2004102850,200706030811
2009/04/05,2阪神4,晴,9,難波S(1600万下),200909020409,16,2,4,26.2,11,10,01093,57,芝1800,良,1:48.6,1.0,14-13,36.2-35.2,33.6,466(+4),2005102286, ,2004102850,200706030811
2008/10/25,4京都5,曇,10,古都S(1600万下),200808040510,14,1,1,16.6,8,9,01093,57,芝2200,良,2:14.7,0.6,7-6-7-7,36.9-34.1,34.1,462(+8),2003102511, ,2004102850,200706030811
2008/07/26,2新潟3,晴,11,日本海S(1600万下),200804020311,13,4,4,7.7,5,7,00666,57.5,芝2200,良,2:14.0,0.7,5-5-6-6,36.1-34.2,34.4,454(+2),2003102900, ,2004102850,200706030811
2008/04/26,2東京1,雨,11,メトロポリタンS(OP),200805020111,15,8,15,21.2,9,8,01043,55,芝2400,良,2:25.7,2.2,12-12-12-10,35.7-35.6,35.9,452(-4),2004102859, ,2004102850,200706030811
2008/04/12,2阪神5,晴,10,大阪ーハンブルクC(OP),200809020510,15,4,6,3.7,1,13,00732,55,芝2400,良,2:28.1,3.1,10-11-11-12,35.9-37.2,36.9,456(+2),2002107303, ,2004102850,200706030811
2008/02/03,2京都2,曇,10,松籟S(1600万下),200808020210,11,6,6,4.6,3,1,00732,56,芝2400,重,2:29.3,-0.1,9-9-7-7,34.8-36.3,35.9,454(+6),2003102519,"1,857.3",2004102850,200706030811
2007/12/22,5中山7,曇,11,クリスマスC(1600万下),200706050711,16,7,14,4.7,2,4,05212,56,芝2200,良,2:14.6,0.3,13-13-10-3,34.4-37.5,35.6,448(0),2002100775,270.0,2004102850,200706030811
2007/12/01,5阪神1,曇,11,ゴールデンホイップT(1600万下),200709050111,15,7,12,7.7,5,5,05158,57,芝1600,良,1:33.3,0.2,13-12,34.3-35.7,35.1,448(0),2003102687,183.0,2004102850,200706030811
2007/11/18,5京都6,曇,10,古都S(1600万下),200708050610,12,7,9,7.2,4,3,00666,55,芝2200,良,2:13.5,0.2,8-8-7-7,36.5-35.5,34.8,448(+12),2003102873,464.1,2004102850,200706030811
2007/05/26,2中京3,晴,10,白百合S(OP),200707020310,13,4,5,9.3,5,13,00705,57,芝1800,良,1:48.5,1.3,12-12-13-13,35.4-35.1,35.0,436(0),2004103204, ,2004102850,200706030811
2007/05/05,2東京5,晴,11,プリンシパルS(OP),200705020511,13,5,7,4.7,2,5,01025,56,芝2000,良,2:00.2,0.6,12-11-9,36.1-34.6,33.8,436(0),2004100476,190.0,2004102850,200706030811
2007/04/15,3中山8,晴,11,皐月賞(G1),200706030811,18,6,11,46.7,10,15,00700,57,芝2000,良,2:01.3,1.4,18-18-18-17,35.5-35.9,34.7,436(0),2004102884, ,2004102850,200706030811
2007/03/24,2阪神1,雨,11,毎日杯(G3),200709020111,14,4,5,9.0,4,3,00666,56,芝1800,稍,1:48.4,0.4,14-13,34.8-34.5,33.9,436(-8),2004104892,"1,107.5",2004102850,200706030811
2007/02/25,1阪神2,晴,9,すみれS(OP),200709010209,9,6,6,2.1,1,7,00666,57,芝2200,良,2:15.8,0.8,7-7-8-7,37.0-34.3,34.3,444(0),2004102859, ,2004102850,200706030811
2007/02/04,1東京4,晴,11,共同通信杯(G3),200705010411,9,1,1,3.4,2,4,00666,56,芝1800,良,1:48.1,0.4,8-9-8,35.9-34.7,34.4,444(0),2004102834,630.0,2004102850,200706030811
2006/12/24,5中山8,晴,6,ホープフルS(OP),200606050806,15,7,13,5.0,2,1,00666,55,芝2000,良,2:01.1,-0.2,15-15-12-12,34.8-37.8,35.6,444(-4),2004105897,"1,634.3",2004102850,200706030811
2006/12/03,3阪神2,晴,6,2歳新馬,200609030206,11,8,10,2.3,1,1,00666,55,芝2000,良,2:08.0,-0.2,2-2-2-2,38.6-35.4,35.3,448(0),2004106490,700.0,2004102850,200706030811
2009/05/30,3中京3,晴,10,金鯱賞(G2),200907030310,18,8,18,11.7,4,12,01102,58,芝2000,良,1:59.2,0.8,2-2-2-2,34.6-34.5,35.2,484(-2),2003104910, ,2004102884,200706030811
2009/04/05,2阪神4,晴,10,産経大阪杯(G2),200909020410,12,5,5,15.3,6,11,01018,58,芝2000,良,2:01.2,1.5,1-1-1-1,36.0-34.8,36.3,486(0),2004102753, ,2004102884,200706030811
2009/03/14,2中京1,曇,11,トヨタ賞中京記念(G3),200907020111,18,7,15,12.8,3,4,01102,58,芝2000,重,2:00.8,0.4,1-1-1-1,33.9-36.9,37.3,486(-6),2002104686,650.0,2004102884,200706030811
2009/02/21,2京都7,晴,11,京都記念(G2),200908020711,12,8,12,49.4,9,3,01088,58,芝2200,良,2:14.8,0.2,1-1-1-1,36.1-36.0,36.2,492(+4),2004103163,"1,613.8",2004102884,200706030811
2009/01/05,1京都2,晴,11,スポニチ賞京都金杯(G3),200908010211,16,8,16,35.1,10,15,01115,58,芝1600,良,1:35.2,2.3,10-12,34.5-35.0,36.1,488(+4),2003100496, ,2004102884,200706030811
2008/05/31,2中京3,小雨,11,金鯱賞(G2),200807020311,17,2,3,11.8,6,14,00660,58,芝2000,稍,2:00.7,1.6,17-17-17-17,35.3-35.1,34.3,484(-8),2002102706, ,2004102884,200706030811
2008/04/06,2阪神4,晴,11,産経大阪杯(G2),200809020411,11,2,2,42.3,8,9,01093,59,芝2000,良,1:59.7,1.0,4-4-5-6,35.5-34.8,35.4,492(-2),2004103198, ,2004102884,200706030811
2008/02/24,1東京8,晴,11,フェブラリーS(G1),200805010811,16,6,11,23.1,8,15,00711,57,ダ1600,良,1:38.9,3.6,1-1,34.8-36.2,39.8,494(+6),2002100877, ,2004102884,200706030811
2007/11/25,5東京8,晴,10,ジャパンC(G1),200705050810,18,3,6,48.4,8,18,05339,55,芝2400,良,2:28.9,4.2,12-11-10-11,35.6-34.3,37.8,488(+4),2003102991, ,2004102884,200706030811
2007/10/21,4京都7,晴,11,菊花賞(G1),200708040711,18,8,18,6.7,3,16,05203,57,芝3000,良,3:07.8,2.7,3-3-3-5,36.3-36.2,38.5,484(+10),2004103163, ,2004102884,200706030811
2007/09/23,4阪神6,晴,11,神戸新聞杯(G2),200709040611,15,5,9,3.7,2,3,05203,56,芝2400,良,2:25.1,0.4,5-5-5-5,35.5-35.4,35.4,474(+2),2004102753,"1,417.0",2004102884,200706030811
2007/05/27,3東京4,晴,10,東京優駿(G1),200705030410,18,8,17,8.2,2,9,00684,57,芝2400,良,2:25.8,1.3,12-4-4-4,35.8-34.4,34.8,472(-4),2004104258, ,2004102884,200706030811
2007/04/15,3中山8,晴,11,皐月賞(G1),200706030811,18,8,17,17.3,7,1,00684,57,芝2000,良,1:59.9,0.0,2-1-1-1,35.5-35.9,35.9,476(0),2004105897,"13,243.4",2004102884,200706030811
