race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
202005040104,4,2歳新馬,天候 : 雨,ダート : 不良,2020年10月10日,東京,16,5,10,6,12,8,15,770,210,190,3400,1370,1660,600,20180,9870,3860,78870,272100,左,1600,11
202005040106,6,3歳以上1勝クラス,天候 : 雨,ダート : 不良,2020年10月10日,東京,13,6,8,6,9,4,5,320,150,1600,170,13450,18880,4070,280,4170,23860,12020,92410,左,2100,13
202005040107,7,3歳以上1勝クラス,天候 : 雨,ダート : 不良,2020年10月10日,東京,15,8,15,7,13,2,3,540,170,330,160,1340,3080,1120,380,890,5950,3630,24130,左,1600,13
202005040110,10,神無月ステークス ,天候 : 雨,ダート : 不良,2020年10月10日,東京,16,3,5,1,2,7,13,2010,410,120,1440,860,2330,900,12960,3740,8000,47190,368270,左,1600,15
202005040112,12,3歳以上2勝クラス,天候 : 雨,ダート : 不良,2020年10月10日,東京,16,5,9,2,4,8,16,330,170,390,310,1900,1910,640,740,2490,2830,7800,28630,左,1400,16
202005040201,1,2歳未勝利,天候 : 曇,ダート : 不良,2020年10月11日,東京,16,3,6,7,13,5,10,920,260,170,180,1280,2210,870,810,400,4600,3140,19480,左,1600,10
202005040202,2,2歳未勝利,天候 : 曇,ダート : 不良,2020年10月11日,東京,16,6,11,7,14,4,8,900,210,120,140,500,1210,440,700,250,2680,1900,11220,左,1300,10
202005040206,6,3歳以上1勝クラス,天候 : 曇,ダート : 重,2020年10月11日,東京,16,7,14,5,10,8,15,2010,570,1760,350,7480,56150,13500,2690,13570,106420,132330,1237590,左,1400,13
202005040208,8,3歳以上2勝クラス,天候 : 曇,ダート : 重,2020年10月11日,東京,12,6,7,5,5,7,9,170,110,160,1210,290,530,280,1780,8700,700,16840,34230,左,2100,14
202005040210,10,グリーンチャンネルC(L),天候 : 曇,ダート : 重,2020年10月11日,東京,16,7,13,3,5,3,6,270,150,330,450,860,1140,660,1170,2840,2010,9550,25230,左,1400,15
202005040301,1,2歳未勝利,天候 : 雨,ダート : 稍重,2020年10月17日,東京,16,7,13,6,12,2,4,170,110,230,180,670,960,400,230,910,1230,1350,5090,左,1400,10
