race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201805010403,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 不良,発走 : 11:10,2018年2月4日,1回東京4日目,16,2,3,6,11,7,13,"2,130",680,220,600,"3,360","8,250","2,510","5,950","2,310","16,800","51,870","279,170"
201805010404,4 R,3歳新馬,ダ左1600m,天候 : 晴,ダート : 不良,発走 : 11:40,2018年2月4日,1回東京4日目,16,8,16,3,6,6,11,440,200,"1,670",640,"3,890","13,760","4,400","2,400","10,970","20,750","83,460","396,120"
201805010406,6 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 不良,発走 : 13:00,2018年2月4日,1回東京4日目,16,4,8,1,2,6,11,400,150,180,170,"1,000",910,390,380,530,"1,600","1,280","6,400"
201805010408,8 R,4歳以上1000万下,ダ左1300m,天候 : 晴,ダート : 不良,発走 : 14:01,2018年2月4日,1回東京4日目,16,4,7,1,2,2,3,"2,550",550,170,180,"2,970","7,960","1,900","2,320",560,"19,200","10,280","103,790"
201805010410,10 R,金蹄ステークス ,ダ左2100m,天候 : 晴,ダート : 不良,"発走 : 15:10

過去の金蹄ステークス",2018年2月4日,1回東京4日目,16,5,10,4,7,4,8,"2,260",610,500,"3,210","8,390","9,250","2,920","19,180","17,640","24,350","252,220","1,408,800"
201805010501,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2018年2月11日,1回東京5日目,16,3,6,6,12,1,1,870,260,180,230,"1,720","2,740",950,"1,100",700,"5,680","5,910","41,840"
201805010502,2 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 良,発走 : 10:40,2018年2月11日,1回東京5日目,16,6,11,4,8,4,7,500,170,350,340,"1,760","3,050",900,900,"1,500","5,310","8,170","35,910"
201805010503,3 R,3歳新馬,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2018年2月11日,1回東京5日目,16,2,3,7,13,5,10,330,150,150,340,710,670,340,"1,240","1,130","1,300","4,330","15,400"
201805010506,6 R,4歳以上500万下,ダ左2100m,天候 : 晴,ダート : 良,発走 : 13:00,2018年2月11日,1回東京5日目,16,3,5,4,8,8,15,"2,280",480,190,710,"3,220","3,850","1,270","6,400","1,280","9,930","21,620","141,210"
201805010508,8 R,4歳以上1000万下,ダ左2100m,天候 : 晴,ダート : 良,発走 : 14:01,2018年2月11日,1回東京5日目,16,2,3,7,14,6,12,230,140,440,360,"1,590","2,070",790,650,"3,210","3,070","8,320","33,880"
201805010510,10 R,バレンタインS ,ダ左1400m,天候 : 晴,ダート : 良,"発走 : 15:10

過去のバレンタインS",2018年2月11日,1回東京5日目,16,3,5,2,4,4,8,970,410,310,730,840,"4,770","1,780","3,570","3,530","9,280","34,000","178,280"
201805010601,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2018年2月12日,1回東京6日目,16,2,3,3,6,1,2,430,170,160,770,320,830,400,"2,280","2,150","1,760","8,620","37,400"
201805010602,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,発走 : 10:40,2018年2月12日,1回東京6日目,16,1,2,7,13,6,12,"6,980","1,110",130,140,"7,520","12,570","3,020","4,100",240,"39,870","8,300","134,810"
201805010603,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2018年2月12日,1回東京6日目,16,2,4,7,13,6,12,250,120,180,210,700,820,370,390,580,"1,330","1,300","5,580"
201805010606,6 R,3歳500万下,ダ左1600m,天候 : 晴,ダート : 良,発走 : 13:00,2018年2月12日,1回東京6日目,16,5,10,6,11,7,14,300,130,190,120,780,"1,360",470,240,470,"2,180","1,590","8,360"
201805010607,7 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 良,発走 : 13:30,2018年2月12日,1回東京6日目,16,8,16,2,3,4,7,800,230,130,180,"1,400","1,190",490,800,400,"2,810","2,000","13,400"
201805010612,12 R,4歳以上1000万下,ダ左1600m,天候 : 晴,ダート : 良,発走 : 16:25,2018年2月12日,1回東京6日目,16,3,5,5,9,2,4,320,140,340,200,"1,930","1,670",650,500,"1,530","2,630","4,250","19,190"
201805010701,1 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 良,発走 : 10:10,2018年2月17日,1回東京7日目,16,4,7,2,4,6,11,370,150,150,190,830,900,370,500,520,"1,540","1,690","5,900"
201805010702,2 R,3歳新馬,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:40,2018年2月17日,1回東京7日目,16,3,6,2,4,4,8,650,160,710,130,"3,640","9,780","2,120",510,"2,050","16,210","8,690","69,100"
201805010703,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2018年2月17日,1回東京7日目,16,3,5,7,13,8,15,"1,460",380,180,160,"1,020","3,880","1,220","1,110",400,"9,120","4,830","41,650"
201805010707,7 R,4歳以上500万下,ダ左1400m,天候 : 晴,ダート : 良,発走 : 13:30,2018年2月17日,1回東京7日目,16,3,5,8,16,7,13,440,150,120,160,650,770,330,410,330,"1,690","1,060","6,630"
201805010708,8 R,4歳以上500万下,ダ左1600m,天候 : 晴,ダート : 良,発走 : 14:01,2018年2月17日,1回東京7日目,16,1,1,6,12,2,3,"1,050",360,210,240,"2,950","3,820","1,480","1,390",820,"6,630","9,790","44,720"
201805010710,10 R,白嶺ステークス ,ダ左1600m,天候 : 晴,ダート : 良,"発走 : 15:10

過去の白嶺ステークス",2018年2月17日,1回東京7日目,16,1,2,8,15,5,10,"5,320",940,250,150,"3,110","15,890","4,170","2,310",580,"30,530","15,040","167,530"
201805010801,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:05,2018年2月18日,1回東京8日目,16,7,13,8,16,7,14,450,160,540,140,"1,840","6,390","1,920",410,"1,520","11,490","7,670","64,840"
201805010802,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,発走 : 10:35,2018年2月18日,1回東京8日目,16,7,13,1,1,6,12,300,240,"1,650",880,"2,520","8,350","2,830","1,990","17,750","11,730","88,080","318,700"
201805010803,3 R,3歳500万下,ダ左1400m,天候 : 晴,ダート : 良,発走 : 11:05,2018年2月18日,1回東京8日目,16,3,5,7,13,6,12,180,110,790,380,"1,060","4,610","1,940",770,"3,930","7,200","15,780","63,180"
201805010807,7 R,4歳以上500万下,ダ左1300m,天候 : 晴,ダート : 良,発走 : 13:25,2018年2月18日,1回東京8日目,16,4,8,5,10,3,5,460,210,240,200,"1,210","2,450",860,460,980,"4,270","3,290","21,420"
201805010809,9 R,ヒヤシンスステークス ,ダ左1600m,天候 : 晴,ダート : 良,"発走 : 14:25

過去のヒヤシンスステークス",2018年2月18日,1回東京8日目,16,7,13,1,2,5,9,370,210,530,540,"2,080","5,240","1,670","1,890","4,730","7,990","34,220","89,030"
201805010811,11 R,第35回フェブラリーS(G1),ダ左1600m,天候 : 晴,ダート : 良,"発走 : 15:40

過去のフェブラリーS",2018年2月18日,1回東京8日目,16,6,12,7,14,3,6,"1,070",280,130,350,870,"1,140",520,"2,620",720,"3,530","6,540","41,560"
201805010812,12 R,大島特別 ,ダ左1400m,天候 : 晴,ダート : 良,"発走 : 16:25

過去の大島特別",2018年2月18日,1回東京8日目,16,7,14,5,10,4,7,660,250,150,"1,410",330,980,490,"12,540","5,490","2,320","34,220","136,670"
